Year,Site,Transect,round,group,stature,life_form,id,uid,year
1983,AlpGard,1,0,non-plant,2,non_plant,1983AlpGard10,AlpGard-1-0,1983_X
1983,AlpGard,1,10,transitional,2,lichen,1983AlpGard110,AlpGard-1-10,1983_X
1983,AlpGard,1,20,transitional,2,lichen,1983AlpGard120,AlpGard-1-20,1983_X
1983,AlpGard,1,30,transitional,2,lichen,1983AlpGard130,AlpGard-1-30,1983_X
1983,AlpGard,1,40,transitional,2,lichen,1983AlpGard140,AlpGard-1-40,1983_X
1983,AlpGard,1,50,non-plant,2,non_plant,1983AlpGard150,AlpGard-1-50,1983_X
1983,AlpGard,1,60,transitional,2,lichen,1983AlpGard160,AlpGard-1-60,1983_X
1983,AlpGard,1,70,transitional,2,lichen,1983AlpGard170,AlpGard-1-70,1983_X
1983,AlpGard,1,80,transitional,2,lichen,1983AlpGard180,AlpGard-1-80,1983_X
1983,AlpGard,1,90,transitional,2,lichen,1983AlpGard190,AlpGard-1-90,1983_X
1983,AlpGard,1,100,transitional,2,lichen,1983AlpGard1100,AlpGard-1-100,1983_X
1983,AlpGard,1,110,transitional,2,lichen,1983AlpGard1110,AlpGard-1-110,1983_X
1983,AlpGard,1,120,transitional,2,lichen,1983AlpGard1120,AlpGard-1-120,1983_X
1983,AlpGard,1,130,transitional,2,lichen,1983AlpGard1130,AlpGard-1-130,1983_X
1983,AlpGard,1,140,transitional,2,lichen,1983AlpGard1140,AlpGard-1-140,1983_X
1983,AlpGard,1,150,transitional,2,lichen,1983AlpGard1150,AlpGard-1-150,1983_X
1983,AlpGard,1,160,arctic,2,gram,1983AlpGard1160,AlpGard-1-160,1983_X
1983,AlpGard,1,170,arctic,2,lichen,1983AlpGard1170,AlpGard-1-170,1983_X
1983,AlpGard,1,180,transitional,2,forb,1983AlpGard1180,AlpGard-1-180,1983_X
1983,AlpGard,1,190,transitional,2,forb,1983AlpGard1190,AlpGard-1-190,1983_X
1983,AlpGard,1,240,arctic,2,lichen,1983AlpGard1240,AlpGard-1-240,1983_X
1983,AlpGard,1,260,arctic,2,forb,1983AlpGard1260,AlpGard-1-260,1983_X
1983,AlpGard,1,270,transitional,2,forb,1983AlpGard1270,AlpGard-1-270,1983_X
1983,AlpGard,1,280,transitional,2,forb,1983AlpGard1280,AlpGard-1-280,1983_X
1983,AlpGard,1,290,transitional,2,shrub,1983AlpGard1290,AlpGard-1-290,1983_X
1983,AlpGard,1,300,transitional,2,shrub,1983AlpGard1300,AlpGard-1-300,1983_X
1983,AlpGard,1,310,transitional,2,forb,1983AlpGard1310,AlpGard-1-310,1983_X
1983,AlpGard,1,320,transitional,2,forb,1983AlpGard1320,AlpGard-1-320,1983_X
1983,AlpGard,1,330,transitional,2,gram,1983AlpGard1330,AlpGard-1-330,1983_X
1983,AlpGard,1,340,transitional,2,gram,1983AlpGard1340,AlpGard-1-340,1983_X
1983,AlpGard,1,360,transitional,2,forb,1983AlpGard1360,AlpGard-1-360,1983_X
1983,AlpGard,1,370,transitional,2,forb,1983AlpGard1370,AlpGard-1-370,1983_X
1983,AlpGard,1,380,non-plant,2,non_plant,1983AlpGard1380,AlpGard-1-380,1983_X
1983,AlpGard,1,390,non-plant,2,non_plant,1983AlpGard1390,AlpGard-1-390,1983_X
1983,AlpGard,1,410,arctic,2,lichen,1983AlpGard1410,AlpGard-1-410,1983_X
1983,AlpGard,1,420,transitional,2,shrub,1983AlpGard1420,AlpGard-1-420,1983_X
1983,AlpGard,1,430,transitional,3,shrub,1983AlpGard1430,AlpGard-1-430,1983_X
1983,AlpGard,1,440,arctic,2,lichen,1983AlpGard1440,AlpGard-1-440,1983_X
1983,AlpGard,1,450,arctic,3,tree,1983AlpGard1450,AlpGard-1-450,1983_X
1983,AlpGard,1,460,arctic,3,tree,1983AlpGard1460,AlpGard-1-460,1983_X
1983,AlpGard,1,470,transitional,2,gram,1983AlpGard1470,AlpGard-1-470,1983_X
1983,AlpGard,1,480,arctic,2,forb,1983AlpGard1480,AlpGard-1-480,1983_X
1983,AlpGard,1,490,transitional,2,gram,1983AlpGard1490,AlpGard-1-490,1983_X
1983,AlpGard,1,500,transitional,2,gram,1983AlpGard1500,AlpGard-1-500,1983_X
1983,AlpGard,1,510,arctic,2,lichen,1983AlpGard1510,AlpGard-1-510,1983_X
1983,AlpGard,1,520,transitional,2,gram,1983AlpGard1520,AlpGard-1-520,1983_X
1983,AlpGard,1,530,arctic,2,lichen,1983AlpGard1530,AlpGard-1-530,1983_X
1983,AlpGard,1,540,transitional,2,forb,1983AlpGard1540,AlpGard-1-540,1983_X
1983,AlpGard,1,550,arctic,2,lichen,1983AlpGard1550,AlpGard-1-550,1983_X
1983,AlpGard,1,560,arctic,2,lichen,1983AlpGard1560,AlpGard-1-560,1983_X
1983,AlpGard,1,570,non-plant,2,non_plant,1983AlpGard1570,AlpGard-1-570,1983_X
1983,AlpGard,1,580,transitional,2,forb,1983AlpGard1580,AlpGard-1-580,1983_X
1983,AlpGard,1,590,arctic,2,lichen,1983AlpGard1590,AlpGard-1-590,1983_X
1983,AlpGard,1,620,arctic,2,shrub,1983AlpGard1620,AlpGard-1-620,1983_X
1983,AlpGard,1,640,transitional,2,gram,1983AlpGard1640,AlpGard-1-640,1983_X
1983,AlpGard,1,650,non-plant,2,non_plant,1983AlpGard1650,AlpGard-1-650,1983_X
1983,AlpGard,1,660,non-plant,2,non_plant,1983AlpGard1660,AlpGard-1-660,1983_X
1983,AlpGard,1,670,arctic,2,shrub,1983AlpGard1670,AlpGard-1-670,1983_X
1983,AlpGard,1,680,non-plant,2,non_plant,1983AlpGard1680,AlpGard-1-680,1983_X
1983,AlpGard,1,690,arctic,2,forb,1983AlpGard1690,AlpGard-1-690,1983_X
1983,AlpGard,1,700,arctic,2,forb,1983AlpGard1700,AlpGard-1-700,1983_X
1983,AlpGard,1,710,arctic,2,lichen,1983AlpGard1710,AlpGard-1-710,1983_X
1983,AlpGard,1,720,arctic,2,shrub,1983AlpGard1720,AlpGard-1-720,1983_X
1983,AlpGard,1,730,arctic,2,forb,1983AlpGard1730,AlpGard-1-730,1983_X
1983,AlpGard,1,740,transitional,2,forb,1983AlpGard1740,AlpGard-1-740,1983_X
1983,AlpGard,1,750,non-plant,2,non_plant,1983AlpGard1750,AlpGard-1-750,1983_X
1983,AlpGard,1,760,non-plant,2,non_plant,1983AlpGard1760,AlpGard-1-760,1983_X
1983,AlpGard,1,770,arctic,2,lichen,1983AlpGard1770,AlpGard-1-770,1983_X
1983,AlpGard,1,780,non-plant,2,non_plant,1983AlpGard1780,AlpGard-1-780,1983_X
1983,AlpGard,1,790,arctic,2,lichen,1983AlpGard1790,AlpGard-1-790,1983_X
1983,AlpGard,1,800,arctic,2,forb,1983AlpGard1800,AlpGard-1-800,1983_X
1983,AlpGard,1,810,transitional,2,bryo,1983AlpGard1810,AlpGard-1-810,1983_X
1983,AlpGard,1,820,arctic,2,lichen,1983AlpGard1820,AlpGard-1-820,1983_X
1983,AlpGard,1,830,non-plant,2,non_plant,1983AlpGard1830,AlpGard-1-830,1983_X
1983,AlpGard,1,840,transitional,2,forb,1983AlpGard1840,AlpGard-1-840,1983_X
1983,AlpGard,1,850,arctic,2,forb,1983AlpGard1850,AlpGard-1-850,1983_X
1983,AlpGard,1,860,transitional,2,gram,1983AlpGard1860,AlpGard-1-860,1983_X
1983,AlpGard,1,870,non-plant,2,non_plant,1983AlpGard1870,AlpGard-1-870,1983_X
1983,AlpGard,1,880,non-plant,2,non_plant,1983AlpGard1880,AlpGard-1-880,1983_X
1983,AlpGard,1,890,non-plant,2,non_plant,1983AlpGard1890,AlpGard-1-890,1983_X
1983,AlpGard,1,900,transitional,2,lichen,1983AlpGard1900,AlpGard-1-900,1983_X
1983,AlpGard,1,910,non-plant,2,non_plant,1983AlpGard1910,AlpGard-1-910,1983_X
1983,AlpGard,1,920,transitional,2,lichen,1983AlpGard1920,AlpGard-1-920,1983_X
1983,AlpGard,1,930,transitional,2,lichen,1983AlpGard1930,AlpGard-1-930,1983_X
1983,AlpGard,1,940,arctic,2,forb,1983AlpGard1940,AlpGard-1-940,1983_X
1983,AlpGard,1,950,non-plant,2,non_plant,1983AlpGard1950,AlpGard-1-950,1983_X
1983,AlpGard,1,960,transitional,2,gram,1983AlpGard1960,AlpGard-1-960,1983_X
1983,AlpGard,1,970,arctic,2,forb,1983AlpGard1970,AlpGard-1-970,1983_X
1983,AlpGard,1,980,arctic,2,forb,1983AlpGard1980,AlpGard-1-980,1983_X
1983,AlpGard,1,990,arctic,2,forb,1983AlpGard1990,AlpGard-1-990,1983_X
1983,AlpGard,1,1020,transitional,2,lichen,1983AlpGard11020,AlpGard-1-1020,1983_X
1983,AlpGard,1,1040,transitional,2,gram,1983AlpGard11040,AlpGard-1-1040,1983_X
1983,AlpGard,1,1050,arctic,2,forb,1983AlpGard11050,AlpGard-1-1050,1983_X
1983,AlpGard,1,1060,transitional,2,gram,1983AlpGard11060,AlpGard-1-1060,1983_X
1983,AlpGard,1,1070,transitional,2,lichen,1983AlpGard11070,AlpGard-1-1070,1983_X
1983,AlpGard,1,1080,non-plant,2,non_plant,1983AlpGard11080,AlpGard-1-1080,1983_X
1983,AlpGard,1,1090,non-plant,2,non_plant,1983AlpGard11090,AlpGard-1-1090,1983_X
1983,AlpGard,1,1100,non-plant,2,non_plant,1983AlpGard11100,AlpGard-1-1100,1983_X
1983,AlpGard,1,1110,transitional,2,lichen,1983AlpGard11110,AlpGard-1-1110,1983_X
1983,AlpGard,1,1120,transitional,2,lichen,1983AlpGard11120,AlpGard-1-1120,1983_X
1983,AlpGard,1,1130,non-plant,2,non_plant,1983AlpGard11130,AlpGard-1-1130,1983_X
1983,AlpGard,1,1140,non-plant,2,non_plant,1983AlpGard11140,AlpGard-1-1140,1983_X
1983,AlpGard,1,1150,arctic,2,lichen,1983AlpGard11150,AlpGard-1-1150,1983_X
1983,AlpGard,1,1160,arctic,2,forb,1983AlpGard11160,AlpGard-1-1160,1983_X
1983,AlpGard,1,1170,non-plant,2,non_plant,1983AlpGard11170,AlpGard-1-1170,1983_X
1983,AlpGard,1,1180,transitional,2,lichen,1983AlpGard11180,AlpGard-1-1180,1983_X
1983,AlpGard,1,1190,transitional,2,bryo,1983AlpGard11190,AlpGard-1-1190,1983_X
1983,AlpGard,1,1200,arctic,2,lichen,1983AlpGard11200,AlpGard-1-1200,1983_X
1983,AlpGard,1,1210,non-arctic,2,lichen,1983AlpGard11210,AlpGard-1-1210,1983_X
1983,AlpGard,1,1220,transitional,2,lichen,1983AlpGard11220,AlpGard-1-1220,1983_X
1983,AlpGard,1,1240,arctic,2,forb,1983AlpGard11240,AlpGard-1-1240,1983_X
1983,AlpGard,1,1250,non-plant,2,non_plant,1983AlpGard11250,AlpGard-1-1250,1983_X
1983,AlpGard,1,1270,arctic,2,forb,1983AlpGard11270,AlpGard-1-1270,1983_X
1983,AlpGard,1,1290,transitional,2,lichen,1983AlpGard11290,AlpGard-1-1290,1983_X
1983,AlpGard,1,1300,non-plant,2,non_plant,1983AlpGard11300,AlpGard-1-1300,1983_X
1983,AlpGard,1,1310,transitional,2,gram,1983AlpGard11310,AlpGard-1-1310,1983_X
1983,AlpGard,1,1320,non-plant,2,non_plant,1983AlpGard11320,AlpGard-1-1320,1983_X
1983,AlpGard,1,1330,non-plant,2,non_plant,1983AlpGard11330,AlpGard-1-1330,1983_X
1983,AlpGard,1,1340,non-plant,2,non_plant,1983AlpGard11340,AlpGard-1-1340,1983_X
1983,AlpGard,1,1350,transitional,2,gram,1983AlpGard11350,AlpGard-1-1350,1983_X
1983,AlpGard,1,1360,transitional,2,bryo,1983AlpGard11360,AlpGard-1-1360,1983_X
1983,AlpGard,1,1370,arctic,2,shrub,1983AlpGard11370,AlpGard-1-1370,1983_X
1983,AlpGard,1,1380,arctic,2,forb,1983AlpGard11380,AlpGard-1-1380,1983_X
1983,AlpGard,1,1390,non-plant,2,non_plant,1983AlpGard11390,AlpGard-1-1390,1983_X
1983,AlpGard,1,1400,non-plant,2,non_plant,1983AlpGard11400,AlpGard-1-1400,1983_X
1983,AlpGard,1,1410,arctic,2,forb,1983AlpGard11410,AlpGard-1-1410,1983_X
1983,AlpGard,1,1420,transitional,2,gram,1983AlpGard11420,AlpGard-1-1420,1983_X
1983,AlpGard,1,1430,transitional,2,gram,1983AlpGard11430,AlpGard-1-1430,1983_X
1983,AlpGard,1,1440,non-plant,2,non_plant,1983AlpGard11440,AlpGard-1-1440,1983_X
1983,AlpGard,1,1450,transitional,2,bryo,1983AlpGard11450,AlpGard-1-1450,1983_X
1983,AlpGard,1,1460,non-plant,2,non_plant,1983AlpGard11460,AlpGard-1-1460,1983_X
1983,AlpGard,1,1470,non-plant,2,non_plant,1983AlpGard11470,AlpGard-1-1470,1983_X
1983,AlpGard,1,1480,arctic,2,forb,1983AlpGard11480,AlpGard-1-1480,1983_X
1983,AlpGard,1,1490,arctic,2,forb,1983AlpGard11490,AlpGard-1-1490,1983_X
1983,AlpGard,1,1510,non-plant,2,non_plant,1983AlpGard11510,AlpGard-1-1510,1983_X
1983,AlpGard,1,1520,arctic,2,gram,1983AlpGard11520,AlpGard-1-1520,1983_X
1983,AlpGard,1,1530,arctic,2,forb,1983AlpGard11530,AlpGard-1-1530,1983_X
1983,AlpGard,1,1540,arctic,2,forb,1983AlpGard11540,AlpGard-1-1540,1983_X
1983,AlpGard,1,1550,arctic,2,gram,1983AlpGard11550,AlpGard-1-1550,1983_X
1983,AlpGard,1,1560,transitional,2,gram,1983AlpGard11560,AlpGard-1-1560,1983_X
1983,AlpGard,1,1570,non-plant,2,non_plant,1983AlpGard11570,AlpGard-1-1570,1983_X
1983,AlpGard,1,1580,arctic,2,forb,1983AlpGard11580,AlpGard-1-1580,1983_X
1983,AlpGard,1,1590,transitional,2,bryo,1983AlpGard11590,AlpGard-1-1590,1983_X
1983,AlpGard,1,1600,transitional,2,lichen,1983AlpGard11600,AlpGard-1-1600,1983_X
1983,AlpGard,1,1610,non-plant,2,non_plant,1983AlpGard11610,AlpGard-1-1610,1983_X
1983,AlpGard,1,1620,arctic,2,forb,1983AlpGard11620,AlpGard-1-1620,1983_X
1983,AlpGard,1,1630,arctic,2,forb,1983AlpGard11630,AlpGard-1-1630,1983_X
1983,AlpGard,1,1640,arctic,2,gram,1983AlpGard11640,AlpGard-1-1640,1983_X
1983,AlpGard,1,1650,arctic,2,forb,1983AlpGard11650,AlpGard-1-1650,1983_X
1983,AlpGard,1,1670,transitional,2,gram,1983AlpGard11670,AlpGard-1-1670,1983_X
1983,AlpGard,1,1680,non-plant,2,non_plant,1983AlpGard11680,AlpGard-1-1680,1983_X
